algorithm;computer;mode;filename;run_number;internal_time;external_time;external_memory;opt;
ukp5;desktop;parallel;ss2_wmin50000wmax1000000n100000-0-s827183242c9151889.ukp;1;0.0735737;0.36;108476;9151889;
ukp5;desktop;parallel;saw_n50000wmin5000-45-s331530426c529431.ukp;1;0.686737;0.80;14072;529640;
ukp5;desktop;parallel;nsds2_n50000wmin20000-10-s260379653c1879272.ukp;1;6.71003;6.86;63332;5659819;
ukp5;desktop;parallel;hi_n10000-20-s742053853c73621875.ukp;1;1.31968;1.60;1744304;7459728706;
ukp5;desktop;parallel;hi_n5000-0-s731232778c5052835.ukp;2;0.105039;0.14;123392;263175571;
ukp5;desktop;parallel;hi_n50000-31-s410031365c5184644.ukp;1;3.59096;3.77;139972;2586142610;
ukp5;desktop;parallel;saw_n50000wmin5000-29-s865843378c1049981.ukp;2;0.738235;0.86;20660;1050815;
ukp5;desktop;parallel;hi_n50000-33-s126192256c89138604.ukp;1;4.82239;5.30;2107892;44752603881;
ukp5;desktop;parallel;ss2_wmin1000wmax500000n50000-0-s827183242c5970156.ukp;1;0.0101441;0.17;65756;5970156;
ukp5;desktop;parallel;nsds2_n20000wmin20000-1-s720843886c1669722.ukp;3;1.26253;1.32;57616;2096592;
ukp5;desktop;parallel;saw_n50000wmin10000-2-s272488647c812838.ukp;2;1.01123;1.17;15632;813080;
ukp5;desktop;parallel;nsds2_n50000wmin20000-0-s155213243c1921419.ukp;1;8.75568;8.89;62584;5785685;
ukp5;desktop;parallel;hi_n50000-26-s90924128c31212485.ukp;2;4.69215;4.94;750148;15594578869;
ukp5;desktop;parallel;nsds2_n50000wmin50000-17-s414892754c1268196.ukp;2;5.41012;5.54;48500;3788329;
ukp5;desktop;parallel;nsds2_n50000wmin50000-13-s273864349c1970782.ukp;2;4.52493;4.69;64948;5989405;
ukp5;desktop;parallel;nsds2_n20000wmin50000-18-s364656855c1288769.ukp;1;1.17589;1.26;47852;1640815;
ukp5;desktop;parallel;hi_n10000-21-s669712253c96279181.ukp;2;1.43304;1.78;2275448;9748536169;
ukp5;desktop;parallel;saw_n100000wmin10000-18-s152335818c5364756.ukp;1;8.04201;8.33;101896;5366899;
ukp5;desktop;parallel;hi_n20000-18-s575639252c60094940.ukp;1;1.51956;1.81;1427564;12111929286;
