num_iter;knapsack_time;sort_time
 430; 0x1.31f5d7993fbdcp-11; 0x0p+0
 431; 0x1.4b12df110343cp-11; 0x0p+0
 432; 0x1.4c952664bb0dp-11; 0x0p+0
 433; 0x1.3fc13eacc19d2p-11; 0x0p+0
 434; 0x1.07c55773c07d4p-11; 0x0p+0
 435; 0x1.82029b8828a56p-11; 0x0p+0
 436; 0x1.334ae3b19e50cp-11; 0x0p+0
 437; 0x1.5af0d6303ca28p-11; 0x0p+0
 438; 0x1.8e9b74f7340fbp-11; 0x0p+0
 439; 0x1.3f94af3ddf786p-11; 0x0p+0
 440; 0x1.4f4caa8ec5915p-11; 0x0p+0
 441; 0x1.760d3c426a4c9p-11; 0x0p+0
 442; 0x1.62bcc9db91f2cp-11; 0x0p+0
 443; 0x1.7f244d673bf95p-11; 0x0p+0
 444; 0x1.2da57fabdcbd3p-11; 0x0p+0
 445; 0x1.46fd956c8e48bp-11; 0x0p+0
 446; 0x1.35949d97913cep-11; 0x0p+0
 447; 0x1.1981a8ae81d58p-11; 0x0p+0
 448; 0x1.3821735c0700cp-11; 0x0p+0
 449; 0x1.4672cd745eeefp-11; 0x0p+0
 450; 0x1.91c1918de50e2p-11; 0x0p+0
 451; 0x1.65b5efef195b8p-11; 0x0p+0
 452; 0x1.67598079e2fp-11; 0x0p+0
 453; 0x1.25f3da82c2e87p-11; 0x0p+0
 454; 0x1.24850958881b3p-11; 0x0p+0
 455; 0x1.3b73b84d52b2fp-11; 0x0p+0
 456; 0x1.5b6dcb1ad72dp-11; 0x0p+0
 457; 0x1.55297d26f2323p-11; 0x0p+0
 458; 0x1.68a052706542dp-11; 0x0p+0
 459; 0x1.59ae0b0484b8dp-11; 0x0p+0
 460; 0x1.43d07e2106fa8p-11; 0x0p+0
 461; 0x1.8e04989ea57abp-11; 0x0p+0
 462; 0x1.909f8628dfae6p-11; 0x0p+0
 463; 0x1.0f34f39f15fcbp-11; 0x0p+0
 464; 0x1.5df4db674cf3ep-11; 0x0p+0
 465; 0x1.2662954b8132cp-11; 0x0p+0
 466; 0x1.42e8f794905f2p-11; 0x0p+0
 467; 0x1.3c61b01e405cfp-11; 0x0p+0
 468; 0x1.44e5a6fd1e3d2p-11; 0x0p+0
 469; 0x1.147a3e123cf71p-11; 0x0p+0
 470; 0x1.18f7256e821c5p-11; 0x0p+0
 471; 0x1.21395807cb47ep-11; 0x0p+0
 472; 0x1.389cee519b97ep-11; 0x0p+0
 473; 0x1.6407192c7f6d8p-11; 0x0p+0
 474; 0x1.a86f05ad7a325p-11; 0x0p+0
 475; 0x1.382cdbefef2a9p-11; 0x0p+0
 476; 0x1.303c666b4c87dp-11; 0x0p+0
 477; 0x1.67ffcc312417fp-11; 0x0p+0
 478; 0x1.6a548796b7bcfp-11; 0x0p+0
 479; 0x1.72537bf566407p-11; 0x0p+0
 480; 0x1.89358d19725bbp-11; 0x0p+0
 481; 0x1.12de31aca8f38p-11; 0x0p+0
 482; 0x1.28df0b2c9db1ap-11; 0x0p+0
 483; 0x1.8a0efbe024874p-11; 0x0p+0
 484; 0x1.68c6fa0b2f9a3p-11; 0x0p+0
 485; 0x1.3fc7d24d507cp-11; 0x0p+0
 486; 0x1.23479c9088bd9p-11; 0x0p+0
