algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
cpp-mtu2;hi_n50000-41-s262685617c62864809.ukp;1;;600.00;4844;;
cpp-mtu1;saw_n50000wmin5000-48-s486168028c525828.ukp;1;0.203434;0.29;5892;526246;
mgreendp1;hi_n5000-24-s320356631c289111.ukp;1;286.146;286.16;4906716;14241433;
cpp-mtu2;saw_n50000wmin5000-8-s400869978c594021.ukp;1;;600.00;4852;;
cpp-mtu2;nsds2_n50000wmin50000-11-s577782098c1211849.ukp;1;34.6037;34.70;7088;3607834;
cpp-mtu2;saw_n50000wmin5000-30-s620888276c657935.ukp;1;;600.00;5368;;
cpp-mtu1;hi_n10000-36-s442208726c59442236.ukp;1;0.00174859;0.03;3556;6022409912;
mgreendp1;hi_n50000-39-s713413380c36882487.ukp;1;;0.14;4788;;
cpp-mtu1;saw_n50000wmin5000-40-s721361676c550045.ukp;1;0.0040297;0.10;5788;550264;
mgreendp1;ss2_wmin50000wmax1000000n100000-0-s827183242c9151889.ukp;1;;600.00;235556;;
mgreendp1;hi_n5000-40-s534548386c5024417.ukp;1;427.118;427.15;7810096;261426692;
cpp-mtu1;hi_n10000-38-s527753500c90683806.ukp;1;;600.00;3792;;
cpp-mtu2;sc_a5n10000wmin10000-0-c6020768.ukp;1;;600.00;3428;;
cpp-mtu1;nsds2_n20000wmin20000-19-s618866736c1596239.ukp;1;0.262732;0.31;4288;1998608;
cpp-mtu1;sc_a-5n5000wmin50000-0-c949215.ukp;1;;600.00;3540;;
cpp-mtu1;saw_n50000wmin5000-32-s319056149c543542.ukp;1;;600.00;5884;;
cpp-mtu1;nsds2_n50000wmin50000-10-s260379653c1520334.ukp;1;1.52848;1.64;5800;4560690;
mgreendp1;ss2_wmin1000wmax500000n20000-0-s827183242c7166489.ukp;1;;600.00;187496;;
cpp-mtu1;nsds2_n20000wmin50000-10-s260379653c1619961.ukp;1;0.0822451;0.13;4232;2069703;
mgreendp1;hi_n50000-9-s915258292c88886832.ukp;1;;0.20;4820;;
cpp-mtu2;nsds2_n20000wmin20000-9-s684448574c1154184.ukp;1;8.77339;8.82;4608;1450131;
cpp-mtu1;nsds2_n50000wmin50000-7-s451986827c1235104.ukp;1;3.36706;3.47;5800;3679672;
cpp-mtu1;hi_n20000-28-s882501307c67192471.ukp;1;;600.00;4308;;
cpp-mtu1;ss2_wmin10000wmax500000n50000-0-s827183242c6712851.ukp;1;0.025819;0.13;5812;6712851;
cpp-mtu1;saw_n50000wmin5000-1-s464585179c370180.ukp;1;0.00506836;0.11;5920;370549;
mgreendp1;hi_n5000-27-s532584774c4924154.ukp;1;404.086;404.11;7821408;255956893;
mgreendp1;nsds2_n50000wmin50000-9-s684448574c1397683.ukp;1;;600.00;565304;;
mgreendp1;ss2_wmin5000wmax1000000n100000-0-s827183242c8821306.ukp;1;;600.00;229256;;
cpp-mtu1;saw_n100000wmin10000-1-s464585179c8808515.ukp;1;;600.00;8720;;
cpp-mtu2;saw_n100000wmin10000-0-s985850175c6792927.ukp;1;0.0272986;0.22;6316;6793604;
cpp-mtu1;saw_n50000wmin10000-12-s1910782c901225.ukp;1;0.0107916;0.10;5700;901494;
cpp-mtu2;hi_n50000-0-s731232778c74736455.ukp;1;;600.00;4796;;
cpp-mtu2;nsds2_n20000wmin20000-1-s720843886c1669722.ukp;1;0.113275;0.16;4312;2096592;
mgreendp1;ss2_wmin5000wmax500000n50000-0-s827183242c8053326.ukp;1;;600.00;207200;;
cpp-mtu2;ss2_wmin50000wmax500000n50000-0-s827183242c8208267.ukp;1;0.0271611;0.13;5848;8208267;
cpp-mtu1;hi_n5000-8-s67683560c6701143.ukp;1;;600.00;3392;;
cpp-mtu1;hi_n10000-8-s67683560c34964751.ukp;1;;600.00;3792;;
cpp-mtu1;saw_n50000wmin5000-43-s856799010c484598.ukp;1;0.0147952;0.11;5788;484693;
cpp-mtu1;hi_n50000-21-s669712253c19149666.ukp;1;;600.00;5840;;
cpp-mtu1;hi_n5000-14-s318339058c4983076.ukp;1;;600.00;3392;;
mgreendp1;nsds2_n50000wmin50000-15-s161344243c1096797.ukp;1;;600.00;739248;;
cpp-mtu2;ss2_wmin10000wmax1000000n50000-0-s827183242c6373385.ukp;1;0.023205;0.12;5816;6373385;
cpp-mtu2;saw_n50000wmin5000-18-s152335818c785470.ukp;1;0.00352819;0.10;4872;786097;
cpp-mtu1;nsds2_n50000wmin50000-19-s618866736c1395411.ukp;1;2.24635;2.35;5792;4170261;
mgreendp1;nsds2_n20000wmin20000-17-s414892754c1568401.ukp;1;157.883;157.92;109420;1969004;
mgreendp1;sc_a-5n5000wmin50000-1-c900576.ukp;1;13.0493;13.06;32300;900491;
