algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
ukp5_fp_ns_cutstock;402_10000_DI_37.csp.txt;1;1591;0x1.644735c0f97c6p-1;0x0p+0;0x1.7f8af356ace89p+1;0x1.0800000000002p+7;
ukp5_int_cutstock;402_10000_DI_37.csp.txt;1;1641;0x1.e5cc88c069a32p-1;0x1.b799f5341f168p-6;0x1.9baf7de2eb029p+1;0x1.07fffffffffffp+7;
ukp5_int_ns_cutstock;402_10000_DI_37.csp.txt;1;1614;0x1.5b23943ff9a66p-1;0x0p+0;0x1.996c305090f7ep+1;0x1.08p+7;
mtu1_cutstock;402_10000_DI_37.csp.txt;1;;;;;;
cplex_cutstock;402_10000_DI_37.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_DI_39.csp.txt;1;1604;0x1.bff114f801256p-1;0x1.e29fd298bea89p-6;0x1.6b26fa53206c6p+1;0x1.0800000000002p+7;
ukp5_fp_ns_cutstock;402_10000_DI_39.csp.txt;1;1565;0x1.4c41ca2d68ccdp-1;0x0p+0;0x1.57d65f38b0dcap+1;0x1.07ffffffffffep+7;
ukp5_int_cutstock;402_10000_DI_39.csp.txt;1;1583;0x1.9a9c5035d6034p-1;0x1.994b82acba806p-6;0x1.577762ba2bd7fp+1;0x1.07fffffffffffp+7;
ukp5_int_ns_cutstock;402_10000_DI_39.csp.txt;1;1583;0x1.325466abfdec9p-1;0x0p+0;0x1.5b94b3d48be64p+1;0x1.07fffffffffffp+7;
mtu1_cutstock;402_10000_DI_39.csp.txt;1;;;;;;
cplex_cutstock;402_10000_DI_39.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_DI_3.csp.txt;1;1945;0x1.6d785f59a42dap+0;0x1.368163edbb2f8p-5;0x1.d76cc4c04a187p+1;0x1.080000299473p+7;
ukp5_fp_ns_cutstock;402_10000_DI_3.csp.txt;1;1850;0x1.a3e1fc33ed98ap-1;0x0p+0;0x1.cb1cca8a970b5p+1;0x1.08000039192a1p+7;
ukp5_int_cutstock;402_10000_DI_3.csp.txt;1;1819;0x1.2cf1fbf0d1ba5p+0;0x1.f56d14806a9e1p-6;0x1.ac3a2a8d0b2f9p+1;0x1.0800003abaa0dp+7;
ukp5_int_ns_cutstock;402_10000_DI_3.csp.txt;1;1777;0x1.8fb8c09db6d7ap-1;0x0p+0;0x1.abf84a98c44acp+1;0x1.08000038da6fp+7;
mtu1_cutstock;402_10000_DI_3.csp.txt;1;;;;;;
cplex_cutstock;402_10000_DI_3.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_NR_14.csp.txt;1;1822;0x1.4ff3478ad90c4p+0;0x1.27e2d714124b5p-5;0x1.f96f0b72f2333p+1;0x1.07fffffffffffp+7;
ukp5_fp_ns_cutstock;402_10000_NR_14.csp.txt;1;1731;0x1.b359673e41729p-1;0x0p+0;0x1.bf280616cdffep+1;0x1.07fffffffffffp+7;
ukp5_int_cutstock;402_10000_NR_14.csp.txt;1;1821;0x1.38eea15992a9ep+0;0x1.fc431fc2f18a1p-6;0x1.e47ef8d9701e6p+1;0x1.07ffffffffffbp+7;
ukp5_int_ns_cutstock;402_10000_NR_14.csp.txt;1;1821;0x1.c13c40ab9f5e3p-1;0x0p+0;0x1.e816851aba1ddp+1;0x1.07ffffffffffbp+7;
