num_iter;knapsack_time;sort_time
292;0x1.30f6284c0aabcp-13;0x1.5ddf3f7c52f3p-15
293;0x1.6625bd9896284p-13;0x1.4e810ed5a8351p-15
294;0x1.3d9b7d2fbcc25p-13;0x1.51348c34e8504p-15
295;0x1.dfae7bd3e0e84p-14;0x1.4dbfc8cfb4802p-15
296;0x1.88b339cb1f45p-14;0x1.508d0b40d0d5ap-15
297;0x1.c22edb8213b87p-13;0x1.539aba5e93bccp-15
298;0x1.7677ab882e8d3p-13;0x1.51054d9429e58p-15
299;0x1.98d6fbfab7c1ap-14;0x1.582d1b49bb12ap-15
300;0x1.8982753abf998p-14;0x1.4e60d87f54ec3p-15
301;0x1.3e8952a4929cp-13;0x1.5326c38e34b69p-15
302;0x1.24ba0d7146831p-13;0x1.5294bc28ff6c7p-15
303;0x1.1c376e2b56c5ep-13;0x1.505dcca0126adp-15
304;0x1.415a572849b9fp-13;0x1.50d3e931ee75dp-15
305;0x1.b1b97e99ec835p-14;0x1.547c36badaba8p-15
306;0x1.9396a8d701e28p-14;0x1.56fe4fb7df661p-15
307;0x1.4553b5f96575ep-14;0x1.5204da8547273p-15
308;0x1.39b34c6a892d3p-14;0x1.5b2bc21d12d7cp-15
309;0x1.c10122d0f68e4p-14;0x1.5b45872eef12p-15
310;0x1.f1b9b89554b2ep-14;0x1.575cccf95c3bbp-15
311;0x1.cd8b9fc20de83p-14;0x1.4ef72b6784401p-15
312;0x1.fa7e60d908c55p-13;0x1.4eb27337e3a4bp-15
313;0x1.823ebcb1d52d4p-13;0x1.51aef449be65p-15
314;0x1.14dc16520d244p-13;0x1.4f3e0958a1e04p-15
315;0x1.0977447c7e224p-13;0x1.565b1a46c1f52p-15
316;0x1.676a02b954054p-14;0x1.57fddca8fca7dp-15
317;0x1.4ac45a9e98424p-14;0x1.5ad3b6200d10bp-15
318;0x1.cd4c45f625d9p-14;0x1.54e9bc46c2b21p-15
319;0x1.ac973c0b0ce84p-14;0x1.54dab3fc57902p-15
320;0x1.c10e0559e4ab7p-14;0x1.4cb9ca9a202fdp-15
321;0x1.729df99d06d8ep-14;0x1.5dcbebaeedc75p-15
322;0x1.45fc49ce3b73p-14;0x1.53c161f95e142p-15
323;0x1.cfae289cd73bcp-15;0x1.518a727071128p-15
324;0x1.108aab83eba14p-13;0x1.5281685b9a40cp-15
325;0x1.61e1bec3c2039p-14;0x1.3ebbc9e78c8e1p-15
326;0x1.82a7f6bac31b3p-14;0x1.429bed172b50fp-15
327;0x1.824ed7dcfed1cp-14;0x1.5ab37fc9b9c7ep-15
328;0x1.8f54cfc3aac2cp-14;0x1.548d64c6c2e15p-15
329;0x1.0917b45a42ca3p-14;0x1.5525dd706f3ap-15
330;0x1.827d039cfeba2p-14;0x1.604347e4815aap-15
331;0x1.f26ae3701ec36p-15;0x1.5b47acf06c16ep-15
332;0x1.4c27c334eae5cp-14;0x1.6097085e8d17fp-15
333;0x1.539bcd3f523f2p-14;0x1.50e5173dd69cap-15
334;0x1.377787ee42e0ap-13;0x1.580ce4f367c9cp-15
335;0x1.3935abb377913p-13;0x1.60d32988399fep-15
336;0x1.2250a6a55f8f5p-13;0x1.5c2d74cfad1e5p-15
337;0x1.46135fae3b673p-13;0x1.573a70e18beep-15
338;0x1.8f79db0d57568p-13;0x1.56030e49bc2e1p-15
339;0x1.9e0b7f763e06p-13;0x1.5cae4e28fa41ap-15
340;0x1.36e82fbae9dc9p-13;0x1.447cf6648f907p-15
341;0x1.743824f94d782p-14;0x1.5849061d1451bp-15
342;0x1.016d70fa46b62p-13;0x1.864bf8c0b5562p-15
343;0x1.0bbf6211534acp-14;0x1.5d0434648303dp-15
344;0x1.d926aaed31a4cp-14;0x1.5cea6f52a6c99p-15
345;0x1.416afbc3d29f9p-13;0x1.5db2269d118d1p-15
